Master ID,Source Stage,Original ID,Object Type,Title,Start Year,End Year,Date Text,Brand / Promoter,Primary Subject,Geography,BMXMuseum Status,Exact Reference ID,Source Role,Evidence / Limitation,Confidence,Rights Code,Research Status,Primary Source URL,Secondary Source URL,Normalized Duplicate Key,Duplicate Group,Canonical Action,Notes,Accessed,Category ID,Primary Category
EPH-0249,v1.1 chronological census,V11-ABMX-0188,Contest entry form / promotion,Yamaha professional racing-outfit competition,1983,1983,April/May 1983,Yamaha; BMX Action Bike,Reader knowledge competition awarding a full racing outfit and matching pit suits.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — April/May 1983 — Volume 2 Number 7. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/60-april%2Fmay-eighty-three,,yamaha professional racing outfit competition april may 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed section located; exact page number remains pending page-image review. Indexed competition pages. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-004,Contests and promotions
EPH-0250,v1.1 chronological census,V11-ABMX-0189,Retailer advertisement / price list,Gainsborough Firebird frame-and-fork retail offer,1983,1983,April/May 1983,Gainsborough Cycle Centre; Firebird,Retail advertisement for a Firebird chromoly frame-and-fork set with headset.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — April/May 1983 — Volume 2 Number 7. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/60-april%2Fmay-eighty-three,,gainsborough firebird frame and fork retail offer april may 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 61. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-07-31,PKR-CAT-002,Advertisements and price lists
EPH-0251,v1.2 chronological census,V12-ABMX-0190,Information-pack mailer,Haro Software brochure and decals offer,1983,1983,June 1983,Haro Designs; Gecko Leisure Products; Shiner,"Mail-in offer for Haro Software apparel literature and decals, with UK distributor information.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,haro software brochure and decals offer june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 2. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0252,v1.2 chronological census,V12-ABMX-0191,Dealer price-list / sticker offer,Strongs Bicycles mail-order component list and free sticker-brochure offer,1983,1983,June 1983,Strongs Bicycles; Oakley; Shimano; Araya; Haro; Suntour,Dense component and apparel price list paired with a stamped-envelope free sticker and brochure offer.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,strongs bicycles mail order component list and free sticker brochure offer june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 4. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0253,v1.2 chronological census,V12-ABMX-0192,Dealer/shop advertisement,"SR Cycles bike-stock, deposit, and free-delivery advertisement",1983,1983,June 1983,SR Cycles; SR Jets; Kuwahara; Mongoose; Redline; GT,"Dealer advertisement listing major BMX brands, a money-order holding deposit, credit, and local free delivery.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,sr cycles bike stock deposit and free delivery advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 4. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-007,Dealers and distributors
EPH-0254,v1.2 chronological census,V12-ABMX-0193,Retailer advertisement / price list,Spokes Tange FMX 200 complete-bike advertisement,1983,1983,June 1983,Spokes; Tange; Shimano; Kenda; Takagi,Complete-bike specification and cash-and-carry price advertisement for the Tange FMX 200.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,spokes tange fmx 200 complete bike advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 5. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
EPH-0255,v1.2 chronological census,V12-ABMX-0194,Information-pack mailer,King Sticker thirty-sticker and rub-on mailer,1983,1983,June 1983,King Sticker,Mail-order sticker and rub-on assortment promoted through the period publication.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,king sticker thirty sticker and rub on mailer june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 6. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0256,v1.2 chronological census,V12-ABMX-0195,Promotional announcement / naming contest,BMX election candidate pledge form,1983,1983,June 1983,BMX Action Bike,Reader-facing novelty pledge form asking political candidates to support local BMX track development.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx election candidate pledge form june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 6. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-004,Contests and promotions
EPH-0257,v1.2 chronological census,V12-ABMX-0196,Team/product advertisement,Diamond Back Traffic Jammin’ 1983 product and factory-team campaign,1983,1983,June 1983,Diamond Back; Harry Leary; Aero; Haro; Oakley,"Two-page brand campaign promoting the Silver Streak, Harry Leary Turbo, Viper, Ridge Runner, and 1983 UK factory team.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,diamond back traffic jammin 1983 product and factory team campaign june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 8–9. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-006,"Teams, riders, and brand campaigns"
EPH-0258,v1.2 chronological census,V12-ABMX-0197,Product literature,Rapido BMX frame and component advertisement,1983,1983,June 1983,Rapido,Product advertisement emphasizing frame and component construction and race-oriented design.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,rapido bmx frame and component advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 10. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-001,Catalogs and product literature
EPH-0259,v1.2 chronological census,V12-ABMX-0198,Catalog mailer,BMX Action Bike back-copy mailer,1983,1983,June 1983,BMX Action Bike; UKBMX Publications,Mail-order offer for available OBMX and ABMX back issues at a stated per-copy price.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx action bike back copy mailer june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0260,v1.2 chronological census,V12-ABMX-0199,Retailer advertisement / price list,DP Racing Firebird frame-and-fork order form,1983,1983,June 1983,DP Racing; Firebird,Direct order form for the Firebird chromoly frame-and-fork set with included Tange headset.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,dp racing firebird frame and fork order form june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
EPH-0261,v1.2 chronological census,V12-ABMX-0200,Catalog mailer,BMX Action Bike blue-and-gold binder offer,1983,1983,June 1983,BMX Action Bike; UKBMX Publications,Mail-order binder designed to hold twelve magazine issues.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx action bike blue and gold binder offer june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0262,v1.2 chronological census,V12-ABMX-0201,Information-pack mailer,BMX Action Bike blue-and-yellow race-shirt offer,1983,1983,June 1983,BMX Action Bike; UKBMX Publications,Mail-order cotton race shirt in blue and yellow American long-sleeve styling.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx action bike blue and yellow race shirt offer june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 12. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0263,v1.2 chronological census,V12-ABMX-0202,Retailer advertisement / price list,"Torker 260, 280X, and 340 complete-bike price advertisement",1983,1983,June 1983,Torker; UK distributor unresolved from indexed alignment,Advertisement listing complete-bike prices and specifications for three Torker models.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,MEDIUM-HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,torker 260 280x and 340 complete bike price advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 14. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
EPH-0264,v1.2 chronological census,V12-ABMX-0203,Retailer advertisement / price list,"Big W BMX frame, wheel, fork, crank, helmet, and book specials",1983,1983,June 1983,Big W; ACS; Skyway; Araya; Tange; Haro; DP Racing,"Multi-product retailer advertisement with mail-order prices for frames, wheels, forks, cranks, protective gear, and literature.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,big w bmx frame wheel fork crank helmet and book specials june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 14. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
EPH-0265,v1.2 chronological census,V12-ABMX-0204,Product-history object,DP Firebird complete-bike editorial test,1983,1983,June 1983,DP Racing; BMX Action Bike,"Editorial test documenting the Firebird frame, geometry, ride impressions, specifications, and period price context.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,dp firebird complete bike editorial test june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 15–17. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-009,Editorial tests and historical documentation
EPH-0266,v1.2 chronological census,V12-ABMX-0205,Product announcement / kit,Firebird Delta II frame announcement,1983,1983,June 1983,DP Racing; Firebird; Reynolds,Product announcement for the Delta II tri-twin frame design using 4130 chromoly and Reynolds 501 tubing.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,firebird delta ii frame announcement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 18–19. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-008,Product announcements and technical material
EPH-0267,v1.2 chronological census,V12-ABMX-0206,Archive collection,Best of 1982 prize-winner follow-up,1983,1983,June 1983,BMX Action Bike; Bell; Skyway; Diamond Back,Follow-up publishing prize winners and additional results from the magazine's Best of 1982 reader poll.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,best of 1982 prize winner follow up june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 19. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-009,Editorial tests and historical documentation
EPH-0268,v1.2 chronological census,V12-ABMX-0207,Contest entry form / promotion,Moto-X Fox reader-photo competition,1983,1983,June 1983,BMX Action Bike; Moto-X Fox,Reader photography competition offering a Moto-X Fox racing outfit and possible publication.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,moto x fox reader photo competition june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 19. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-004,Contests and promotions
EPH-0269,v1.2 chronological census,V12-ABMX-0208,Event notice / contact flyer,June 1983 BMX race calendar,1983,1983,June 1983,BMX Action Bike; UKBMX; NBMXA; regional organizers,"Publication calendar listing national, regional, club, open, and international BMX meetings.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,june 1983 bmx race calendar june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 22. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-005,"Events, registration, and membership"
EPH-0270,v1.2 chronological census,V12-ABMX-0209,Archive collection,Isle of Wight inaugural BMX meeting report,1983,1983,June 1983,Isle of Wight BMX organizers; BMX Action Bike,"Historical event report documenting early island racing, visiting riders, local participation, and plans for continued meetings.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,isle of wight inaugural bmx meeting report june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 26–27. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-009,Editorial tests and historical documentation
EPH-0271,v1.2 chronological census,V12-ABMX-0210,Retailer advertisement / price list,BMX Superstore Kuwahara E.T. Replica special,1983,1983,June 1983,BMX Superstore; Kuwahara,Mail-order special for remaining Kuwahara E.T. Replica bicycles with recommended-price comparison.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx superstore kuwahara e t replica special june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 28. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
EPH-0272,v1.2 chronological census,V12-ABMX-0211,Dealer price-list / sticker offer,Team Henderson mail-order parts and free-sticker offer,1983,1983,June 1983,Team Henderson BMX Mail Order Centre; Haro; California Lite; CW; Renthal,Mail-order component list offering a price list by SAE and a free sticker with orders.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,team henderson mail order parts and free sticker offer june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 28. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0273,v1.2 chronological census,V12-ABMX-0212,Retailer advertisement / price list,Langsett Cycles BMX parts price advertisement,1983,1983,June 1983,Langsett Cycles; MX 100; Sharp; Elina; Suntour; Haro,"Retailer advertisement for brakes, skirts, bottom-bracket protection, saddles, headsets, and seat pillars.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,langsett cycles bmx parts price advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 28. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
EPH-0274,v1.2 chronological census,V12-ABMX-0213,Dealer/shop advertisement,BMX Centre Mousehole stock and mail-order advertisement,1983,1983,June 1983,BMX Centre Mousehole; Mongoose; Kuwahara; Torker; GT; Robinson,"Dealer advertisement listing complete bikes, frames, forks, components, clothing, and protective equipment.",United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx centre mousehole stock and mail order advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 28. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-007,Dealers and distributors
EPH-0275,v1.2 chronological census,V12-ABMX-0214,Catalog mailer,BMX Action Bike monthly subscription promotion,1983,1983,June 1983,BMX Action Bike; UKBMX Publications,Reader subscription and newsagent-order promotion built around the magazine's move to monthly publication.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,bmx action bike monthly subscription promotion june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 29. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-003,"Mailers, stickers, and information packs"
EPH-0276,v1.2 chronological census,V12-ABMX-0215,Dealer advertisement / price-list lead,ABMX free Sales and Swaps coupon,1983,1983,June 1983,BMX Action Bike; UKBMX Publications,Free private classified-sales service with submission rules and a printed coupon.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,abmx free sales and swaps coupon june 1983,,REVIEW — recurring campaign/feature candidate; retain separately pending page-image comparison,Indexed page 29. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-007,Dealers and distributors
EPH-0277,v1.2 chronological census,V12-ABMX-0216,Contest entry form / promotion,Ammaco Team Pro prize-bike competition,1983,1983,June 1983,BMX Action Bike; Ammaco,Reader competition awarding a top-of-the-range Ammaco Team Pro after a twenty-five-word problem-solving entry.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,ammaco team pro prize bike competition june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed pages 30–31. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-004,Contests and promotions
EPH-0278,v1.2 chronological census,V12-ABMX-0217,Retailer advertisement / price list,Rivat BMX shoe advertisement,1983,1983,June 1983,Rivat; March Racing Developments,Product advertisement for purpose-designed BMX shoes with a rider endorsement and stated retail price.,United Kingdom,Not applicable — period publication,,Chronological issue pass,PreviousPage exposes indexed text for BMX Action Bike — June 1983 — Volume 2 Number 8. This record preserves an issue-specific source occurrence and paraphrased factual details. Page-image comparison remains required before exact-layout quotation or visual identity merging.,HIGH,INDEX-ONLY,INCLUDED — indexed issue text; visual comparison pending.,https://previouspage.co.uk/magazines/BMX%20Action%20Bike/issues/61-june-nineteen-eighty-three,,rivat bmx shoe advertisement june 1983,,RETAIN — issue-specific occurrence pending visual comparison,Indexed page 30. Image: do not reproduce scan. Text: paraphrase facts and clearly paired prices only.,2026-08-01,PKR-CAT-002,Advertisements and price lists
